Institution,Country,AC,FC
"University of Central Florida (UCF)","United States of America (USA)",81,29.744650833995
"Rensselaer Polytechnic Institute (RPI)","United States of America (USA)",81,29.682872852163
"Sandia National Laboratories","United States of America (USA)",137,29.680766990129
"Technical University of Darmstadt (TU Darmstadt)",Germany,124,29.668902671743
"Tianjin University of Technology (TJUT)",China,62,29.615258276962
"Indian Institute of Science Education and Research Pune (IISER Pune)",India,112,29.553248808458
"University of Otago","New Zealand",142,29.519412492115
"IBM Corporation","United States of America (USA)",80,29.516196581909
"Drexel University","United States of America (USA)",110,29.515638516452
"Erasmus University Rotterdam (EUR)",Netherlands,170,29.293836874272
"Indian Institute of Technology Madras (IIT Madras)",India,140,29.200444281793
"University of Twente (UTwente)",Netherlands,86,29.193026976485
"Nanjing University of Information Science and Technology (NUIST)",China,147,29.173651202026
"Bar-Ilan University (BIU)",Israel,87,29.090870422227
"Chiba University",Japan,88,28.892465158247
"Saarland University (Saar-Uni)",Germany,91,28.513719214447
"Novartis International AG",Switzerland,101,28.374842091637
"Nanjing Agricultural University (NAU)",China,83,28.343864448847
"Jiangsu Normal University (JSNU)",China,55,28.205670718171
"Queen's University",Canada,161,28.200950376906
"University of Sussex","United Kingdom (UK)",131,27.987354099221
"Institute of Science and Technology Austria (IST Austria)",Austria,67,27.873223176257
"University of Naples Federico II (UNINA)",Italy,276,27.836318725575
"University of Strathclyde","United Kingdom (UK)",100,27.602629314234
"Bielefeld University",Germany,62,27.527252108947
"University of Bologna (UNIBO)",Italy,298,27.503460728564
"China University of Geosciences, Beijing (CUGB)",China,76,27.473743386243
"University of Milano-Bicocca (UNIMIB)",Italy,209,27.465166379999
"Environment and Climate Change Canada (ECCC)",Canada,90,27.408778554392
"National Institute of Applied Sciences (INSA)",France,284,27.362179202956
"Auburn University","United States of America (USA)",90,27.343083677498
"Wayne State University","United States of America (USA)",173,27.307297098525
"Tulane University","United States of America (USA)",78,27.258864468134
"Ewha Womans University (Ewha)","South Korea",83,27.004594125458
"Royal Melbourne Institute of Technology (RMIT University)",Australia,101,26.989237351336
"National Institute for Astrophysics (INAF)",Italy,128,26.946185394809
"Huaqiao University (HQU)",China,40,26.930636152799
"Queensland University of Technology (QUT)",Australia,133,26.902439524759
"Clemson University","United States of America (USA)",65,26.836875469398
"High Energy Accelerator Research Organization (KEK)",Japan,190,26.811800228714
"Cold Spring Harbor Laboratory (CSHL)","United States of America (USA)",85,26.587204724953
"National Renewable Energy Laboratory (NREL)","United States of America (USA)",83,26.565095609728
"Hong Kong Baptist University (HKBU)",China,101,26.383560376263
"University of Pisa (UNIPI)",Italy,249,26.351132586508
"University of Potsdam",Germany,152,26.203613599995
"Ningbo University (NBU)",China,66,26.188150289253
"TU Dortmund University",Germany,149,26.12014502606
"Hangzhou Normal University (HZNU)",China,79,26.093237550593
"Qingdao University (QU)",China,81,26.084348244348
"École Normale Supérieure (ENS Paris)",France,322,26.067744054956
"Flanders Institute for Biotechnology (VIB)",Belgium,160,26.05100266672
"Nanjing Medical University (NJMU)",China,113,26.041530477748
"Macquarie University",Australia,138,25.910634135044
"University of Oldenburg",Germany,63,25.871588827839
"University of Liège (ULg)",Belgium,103,25.815708718166
"Pusan National University (PNU)","South Korea",111,25.778304240714
"Simon Fraser University (SFU)",Canada,158,25.717410567317
"Autonomous University of Barcelona (UAB)",Spain,247,25.286691633735
"University of Nevada, Reno (UNR)","United States of America (USA)",72,25.123035321765
"University of Fribourg (UNIFR)",Switzerland,90,25.095335844542
"Hubei University (HUBU)",China,64,25.005971805972
"Martin Luther University Halle-Wittenberg (MLU)",Germany,132,24.972766591937
"National Research Center Kurchatov Institute (NRCKI)",Russia,274,24.89999735039
"Hebei University (HBU)",China,58,24.894595358345
"Simons Foundation","United States of America (USA)",136,24.881416175138
"Children's Hospital of Philadelphia (CHOP)","United States of America (USA)",153,24.822357016152
"Institute for Advanced Study (IAS)","United States of America (USA)",73,24.673011098379
"Southern Medical University (SMU)",China,82,24.512649286595
"Indian Institute of Technology Kharagpur (IIT Kharagpur)",India,41,24.370797258297
"Alphabet Inc.","United States of America (USA)",65,24.322251337893
"Anhui Normal University (AHNU)",China,48,24.304966329966
"Chung-Ang University (CAU)","South Korea",56,24.196542069042
"Ministry of Natural Resources (MNR)",China,206,24.16903526586
"The University of Texas at San Antonio (UTSA)","United States of America (USA)",63,24.156343513513
"Wenzhou University (WZU)",China,51,24.123724886225
"University of Turin (UNITO)",Italy,252,24.031697274627
"Indian Institute of Science Education and Research Bhopal (IISER Bhopal)",India,32,23.99126984127
"University of East Anglia (UEA)","United Kingdom (UK)",103,23.876097428601
"University of Dundee","United Kingdom (UK)",100,23.823008665538
"Dalhousie University",Canada,101,23.582318021654
"Changzhou University (CZU)",China,51,23.362875550376
"University of Texas Medical Branch (UTMB)","United States of America (USA)",64,23.312051146639
"Technical University Braunschweig (TU Braunschweig)",Germany,78,23.239619314061
"University of Jyväskylä",Finland,185,23.147246036699
"U.S. Environmental Protection Agency (EPA)","United States of America (USA)",55,23.075099803297
"University of Oviedo (UniOvi)",Spain,161,22.994699867428
"University of Ljubljana",Slovenia,134,22.981143644347
"Kyung Hee University (KHU)","South Korea",144,22.955831910744
"Qufu Normal University (QFNU)",China,51,22.914192715743
"Japan Agency for Marine-Earth Science and Technology (JAMSTEC)",Japan,91,22.82608179816
"John Innes Centre (JIC)","United Kingdom (UK)",56,22.788047722258
"Umeå University (UMU)",Sweden,121,22.669417872683
"Academy of Scientific and Innovative Research (AcSIR)",India,72,22.664613572702
"Utah State University (USU)","United States of America (USA)",84,22.653222567436
"Scuola Internazionale Superiore di Studi Avanzati (SISSA)",Italy,91,22.633035137161
"University of Aveiro (UA)",Portugal,77,22.604501615855
"Osaka Prefecture University (OPU)",Japan,52,22.532544668138
"European Synchrotron Radiation Facility (ESRF)",France,131,22.524430838272
"The George Washington University (GW)","United States of America (USA)",95,22.451596487068
"Griffith University",Australia,90,22.415739268774
"Institute of Health Carlos III (ISCIII)",Spain,264,22.373464589108
"Capital Normal University (CNU)",China,54,22.234639108169
"Nanjing University of Aeronautics and Astronautics (NUAA)",China,61,22.073355724411
"Saint Petersburg State University (SPbU)",Russia,98,22.03729422838
"Georgia State University (GSU)","United States of America (USA)",71,21.909166232656
"Tokyo University of Science (TUS)",Japan,60,21.898070089704
"Vienna Biocenter (VBC)",Austria,86,21.753314717235
"City of Hope","United States of America (USA)",68,21.606780356953
"Xiangtan University (XTU)",China,54,21.569222373487
"West Virginia University (WVU)","United States of America (USA)",81,21.516389613953
"University of Sherbrooke (USherbrooke)",Canada,97,21.474938421542
"The University of Akron (UAkron)","United States of America (USA)",46,21.279229267465
"University of Iceland",Iceland,94,21.242775309986
"Brazil Ministry of Science, Technology, Innovation and Communication (MCTIC)",Brazil,170,21.186485960953
"China University of Petroleum (CUP)",China,50,21.186187146187
"Giessen University (JLU)",Germany,181,21.168250538598
"Institute for Research in Fundamental Sciences (IPM)",Iran,104,21.150423102289
"University of Leicester","United Kingdom (UK)",106,20.932974777648
"Renmin University of China (RUC)",China,71,20.805190925642
"University of Southern Denmark (SDU)",Denmark,120,20.782426314454
"University of Granada (UGR)",Spain,129,20.576130669586
"University of Saskatchewan (U of S)",Canada,95,20.572416964111
"University College Dublin (UCD)",Ireland,179,20.482757734963
"Syracuse University","United States of America (USA)",94,20.449453866309
"University of Lorraine (UL)",France,127,20.388922040948
"Heriot-Watt University","United Kingdom (UK)",76,20.321975381433
"University of Wyoming","United States of America (USA)",78,20.308583554943
"Swansea University","United Kingdom (UK)",72,20.304415989303
"Texas Tech University (TTU)","United States of America (USA)",152,20.22818597706
"The Jackson Laboratory (JAX)","United States of America (USA)",70,20.136996435941
"Masaryk University (MU)","Czech Republic",108,20.095905730626
"Moscow Institute of Physics and Technology - State University (MIPT)",Russia,197,20.010457627478
"Skolkovo Institute of Science and Technology (Skoltech)",Russia,90,19.841227422075
"Kansas State University (K-State)","United States of America (USA)",124,19.835269957181
"Royal Netherlands Academy of Arts and Sciences (KNAW)",Netherlands,123,19.814651588126
"U.S. Department of Agriculture (USDA)","United States of America (USA)",123,19.794155454497
"Hohai University (HHU)",China,50,19.736648305398
"Guangzhou University (GU)",China,61,19.698207293796
"Guangzhou Medical University (GMU)",China,93,19.538286251126
"University of Buenos Aires (UBA)",Argentina,122,19.510737951769
"Medical University of Vienna (MUW)",Austria,142,19.47510939397
"Zhejiang Normal University (ZJNU)",China,55,19.414572927073
"Zhejiang Sci-Tech University (ZSTU)",China,42,19.373015873016
"State University of New York at Albany (SUNY Albany)","United States of America (USA)",121,19.338906426347
"University of Guelph",Canada,138,19.241223757338
"University College Cork (UCC)",Ireland,90,19.233609493577
"Shanghai Normal University (SHNU)",China,55,19.221341698425
"Kumamoto University",Japan,61,19.203000398295
"Catalan Institution for Research and Advanced Studies (ICREA)",Spain,316,19.167557855692
"Fraunhofer Society",Germany,134,19.159778120707
"Jiangxi Normal University (JXNU)",China,49,19.151630776631
"Abdus Salam International Centre for Theoretical Physics (ICTP)",Italy,147,19.119236374822
"Jiangsu University (JSU)",China,54,19.086978316536
"University of Reading","United Kingdom (UK)",97,19.070300321562
"Toyota Group",Japan,46,18.951866597455
"Colorado School of Mines","United States of America (USA)",73,18.82015364961
"The University of Alabama (UA)","United States of America (USA)",140,18.787414913049
"University of Hyderabad (UoH)",India,65,18.766051699346
"University of Cape Town (UCT)","South Africa",175,18.682052670113
"University of Turku (UTU)",Finland,104,18.599811012276
"Bristol-Myers Squibb (BMS)","United States of America (USA)",56,18.560243462702
"Swinburne University of Technology",Australia,94,18.474437137595
"Assistance Publique-Hôpitaux de Paris (AP-HP)",France,225,18.353508966677
"Fermi National Accelerator Laboratory (Fermilab)","United States of America (USA)",132,18.352991399474
"Southwest Jiaotong University (SWJTU)",China,35,18.307603230103
